年月日,数,PCR累計
2/18/2020,998,998
2/19/2020,698,1696
2/20/2020,667,2363
2/21/2020,1607,3970
2/22/2020,1169,5139
2/23/2020,657,5796
2/24/2020,513,6309
2/25/2020,930,7239
2/26/2020,1375,8614
2/27/2020,1283,9897
2/28/2020,1483,11380
2/29/2020,898,12278
3/1/2020,633,12911
3/2/2020,1137,14048
3/3/2020,1507,15555
3/4/2020,1380,16935
3/5/2020,1485,18420
3/6/2020,1216,19636
3/7/2020,868,20504
3/8/2020,610,21114
3/9/2020,1011,22125
3/10/2020,1840,23965
3/11/2020,1477,25442
3/12/2020,1535,26977
3/13/2020,1032,28009
